"","hg19_Chromosome","hg19_Start","hg19_Stop","Symbol","EnsemblGeneID","MCARTA2.0_score"
"173","chr7",56019512,56024192,"MRPS17","ENSG00000239789",26.7669
"174","chr8",67342420,67383836,"ADHFE1","ENSG00000147576",26.7588
"175","chr20",34255977,34287281,"NFS1","ENSG00000244005",26.7525
"176","chr20",13765596,13799067,"NDUFAF5","ENSG00000101247",26.6921
"177","chr11",6702013,6704632,"MRPL17","ENSG00000158042",26.6519
"178","chr17",61678231,61685725,"TACO1","ENSG00000136463",26.649
"179","chr3",179065480,179112719,"MFN1","ENSG00000171109",26.5613
"180","chr12",110969120,111021125,"PPTC7","ENSG00000196850",26.5342
"181","chr11",66202546,66234209,"MRPL11","ENSG00000174547",26.5037
"182","chr16",85832239,85840650,"COX4I1","ENSG00000131143",26.466
"183","chr5",1801514,1816719,"NDUFS6","ENSG00000145494",26.466
"184","chr8",121393000,121457642,"MRPL13","ENSG00000172172",26.3504
"185","chr5",41730167,41870621,"OXCT1","ENSG00000083720",26.3333
"186","chr2",98262503,98264846,"COX5B","ENSG00000135940",26.3322
"187","chr17",48172101,48189516,"PDK2","ENSG00000005882",26.3227
"188","chr3",52232102,52248343,"ALAS1","ENSG00000023330",26.3146
"189","chr2",27994584,28210954,"MRPL33","ENSG00000243147",26.309
"190","chr6",74171301,74218959,"MTO1","ENSG00000135297",26.3081
"191","chr4",39460620,39479273,"LIAS","ENSG00000121897",26.2921
"192","chr7",123177051,123198309,"NDUFA5","ENSG00000128609",26.2914
"193","chr9",32552997,32573160,"NDUFB6","ENSG00000165264",26.2914
"194","chr2",177134123,177202753,"MTX2","ENSG00000128654",26.2914
"195","chr3",67410884,67705038,"SUCLG2","ENSG00000172340",26.2777
"196","chr11",110300607,110335605,"FDX1","ENSG00000137714",26.2764
"197","chr22",19163095,19166343,"SLC25A1","ENSG00000100075",26.2493
"198","chr8",80830952,80942524,"MRPS28","ENSG00000147586",26.2202
"199","chr19",39971052,39984422,"TIMM50","ENSG00000105197",26.1481
"200","chr10",76969912,76991206,"VDAC2","ENSG00000165637",26.1221
"201","chr19",19174808,19223697,"SLC25A42","ENSG00000181035",26.1091
"202","chr7",22852251,22862470,"TOMM7","ENSG00000196683",26.0896
"203","chr19",39306062,39322645,"ECH1","ENSG00000104823",25.9632
"204","chr4",152591656,152682175,"PET112","ENSG00000059691",25.9072
"205","chr2",219523487,219528166,"BCS1L","ENSG00000074582",25.7776
"206","chr17",27181956,27188085,"ERAL1","ENSG00000132591",25.6968
"207","chr3",28283075,28366633,"CMC1","ENSG00000187118",25.5981
"208","chr16",417384,420527,"MRPL28","ENSG00000086504",25.5595
"209","chr12",58176372,58201854,"TSFM","ENSG00000123297",25.5449
"210","chr9",71650175,71715094,"FXN","ENSG00000165060",25.5447
"211","chr2",69622882,69664760,"NFU1","ENSG00000169599",25.5447
"212","chr12",32880424,32908836,"YARS2","ENSG00000139131",25.5447
"213","chr11",68658744,68671303,"MRPL21","ENSG00000197345",25.5447
"214","chr1",19197926,19229275,"ALDH4A1","ENSG00000159423",25.5079
"215","chr1",161195793,161200408,"TOMM40L","ENSG00000158882",25.4413
"216","chr15",41679551,41694717,"NDUFAF1","ENSG00000137806",25.4025
"217","chr16",2009509,2011976,"NDUFB10","ENSG00000140990",25.3606
"218","chr10",124768495,124817827,"ACADSB","ENSG00000196177",25.3309
"219","chr2",105654441,105716418,"MRPS9","ENSG00000135972",25.2372
"220","chr1",227085237,227175246,"ADCK3","ENSG00000163050",25.1926
"221","chr17",7120444,7128592,"ACADVL","ENSG00000072778",25.1431
"222","chr9",131084815,131096351,"COQ4","ENSG00000167113",25.0971
"223","chr8",55047770,55060461,"MRPL15","ENSG00000137547",25.0806
"224","chr5",140018325,140027370,"NDUFA2","ENSG00000131495",25.0692
"225","chr1",156707095,156711382,"MRPL24","ENSG00000143314",25.0642
"226","chr2",198351305,198381461,"HSPD1","ENSG00000144381",25.0621
"227","chr1",39491990,39500308,"NDUFS5","ENSG00000168653",25.0273
"228","chr9",4711155,4742043,"AK3","ENSG00000147853",25.0021
"229","chr7",25159710,25164980,"CYCS","ENSG00000172115",24.9447
"230","chr13",24304328,24463558,"MIPEP","ENSG00000027001",24.9354
"231","chr5",130506503,130541119,"LYRM7","ENSG00000186687",24.9269
"232","chr9",131857089,131873468,"CRAT","ENSG00000095321",24.9
"233","chr3",135969148,136056738,"PCCB","ENSG00000114054",24.8143
"234","chr17",73257755,73262454,"MRPS7","ENSG00000125445",24.5906
"235","chr3",131181056,131221827,"MRPL3","ENSG00000114686",24.5294
"236","chr22",18900294,18924066,"PRODH","ENSG00000100033",24.4195
"237","chr13",100741269,101182686,"PCCA","ENSG00000175198",24.4144
"238","chr3",182733006,182833863,"MCCC1","ENSG00000078070",24.4144
"239","chr19",39421188,39423802,"MRPS12","ENSG00000128626",24.3808
"240","chr11",72003469,72145692,"CLPB","ENSG00000162129",24.3119
"241","chr2",173420101,173489823,"PDK1","ENSG00000152256",24.2522
"242","chr11",64889655,64894843,"MRPL49","ENSG00000149792",24.1026
"243","chr6",75947391,75960039,"COX7A2","ENSG00000112695",24.0965
"244","chr11",85359011,85367591,"TMEM126A","ENSG00000171202",24.0965
"245","chr1",53361656,53392884,"ECHDC2","ENSG00000121310",24.0959
"246","chrX",11129421,11141198,"HCCS","ENSG00000004961",24.0815
"247","chr7",27565061,27702614,"HIBADH","ENSG00000106049",24.0796
"248","chr2",75873909,75917977,"MRPL19","ENSG00000115364",24.0496
"249","chr5",1798500,1801480,"MRPL36","ENSG00000171421",24.0424
"250","chr13",45967451,45992590,"SLC25A30","ENSG00000174032",24.0095
"251","chr3",197236654,197300194,"BDH1","ENSG00000161267",23.9841
"252","chr6",5261277,5771813,"FARS2","ENSG00000145982",23.8332
"253","chrX",74273115,74376567,"ABCB7","ENSG00000131269",23.7395
"254","chr1",155178490,155183615,"MTX1","ENSG00000173171",23.6637
"255","chr19",8373167,8386263,"NDUFA7","ENSG00000167774",23.6535
"256","chr1",201924619,201939789,"TIMM17A","ENSG00000134375",23.5181
"257","chr1",165631453,165668100,"ALDH9A1","ENSG00000143149",23.4278
"258","chr4",84377085,84390888,"MRPS18C","ENSG00000163319",23.3634
"259","chr2",198570087,198573113,"MARS2","ENSG00000247626",23.2841
"260","chr14",74523553,74551196,"ALDH6A1","ENSG00000119711",23.2735
"261","chr17",72858619,72869156,"FDXR","ENSG00000161513",23.1029
"262","chr12",120899471,120907596,"GATC","ENSG00000111786",23.092
"263","chr16",3701640,3767598,"TRAP1","ENSG00000126602",23.0794
"264","chr11",134123389,134135749,"ACAD8","ENSG00000151498",22.9279
"265","chr12",112204691,112247782,"ALDH2","ENSG00000111275",22.8635
"266","chr10",81107225,81115093,"PPIF","ENSG00000108179",22.852
"267","chr17",900357,906911,"TIMM22","ENSG00000177370",22.8174
"268","chr15",40697686,40728146,"IVD","ENSG00000128928",22.807
"269","chr14",50704281,50779266,"L2HGDH","ENSG00000087299",22.7952
"270","chr19",44010871,44031396,"ETHE1","ENSG00000105755",22.7142
"271","chr1",1337288,1342693,"MRPL20","ENSG00000242485",22.6882
"272","chrX",118602363,118605282,"SLC25A5","ENSG00000005022",22.6723
"273","chr2",172640880,172864766,"SLC25A12","ENSG00000115840",22.6723
"274","chr1",150266289,150281414,"MRPS21","ENSG00000187145",22.6171
"275","chr22",39077953,39080818,"TOMM22","ENSG00000100216",22.5656
"276","chr18",47309869,47340330,"ACAA2","ENSG00000167315",22.5372
"277","chr2",99797542,99814089,"MRPL30","ENSG00000185414",22.4329
"278","chr16",4475806,4506776,"DNAJA3","ENSG00000103423",22.3735
"279","chr7",140390577,140422590,"NDUFB2","ENSG00000090266",22.2978
"280","chr16",1821891,1823156,"MRPS34","ENSG00000074071",22.2978
"281","chr19",51848423,51869672,"ETFB","ENSG00000105379",22.2803
"282","chr6",108616098,108847999,"LACE1","ENSG00000135537",22.1425
"283","chr1",28562620,28573417,"ATPIF1","ENSG00000130770",22.1189
"284","chr1",111991486,112005395,"ATP5F1","ENSG00000116459",22.1144
"285","chr5",85913721,85916779,"COX7C","ENSG00000127184",22.1144
"286","chr7",132469629,132766848,"CHCHD3","ENSG00000106554",22.0697
"287","chr2",198318147,198340032,"COQ10B","ENSG00000115520",22.0284
"288","chr16",89154783,89222254,"ACSF3","ENSG00000176715",22.0114
"289","chr17",26673659,26684545,"POLDIP2","ENSG00000004142",22.0081
"290","chr17",79670404,79688042,"SLC25A10","ENSG00000183048",21.9806
"291","chr7",95749532,95951459,"SLC25A13","ENSG00000004864",21.9806
"292","chrX",24483338,24557954,"PDK3","ENSG00000067992",21.9161
"293","chr11",86152150,86383678,"ME3","ENSG00000151376",21.8086
"294","chr5",154320630,154348971,"MRPL22","ENSG00000082515",21.7952
"295","chr15",90626277,90645736,"IDH2","ENSG00000182054",21.7892
"296","chr19",13001840,13025021,"GCDH","ENSG00000105607",21.6769
"297","chr3",179306073,179322442,"MRPL47","ENSG00000136522",21.6672
"298","chr4",106290234,106395238,"PPA2","ENSG00000138777",21.6578
"299","chr1",151732119,151736040,"MRPL9","ENSG00000143436",21.6235
"300","chr22",24108021,24110630,"CHCHD10","ENSG00000250479",21.6206
"301","chr1",119573839,119683294,"WARS2","ENSG00000116874",21.6195
"302","chr17",73269073,73285591,"SLC25A19","ENSG00000125454",21.6162
"303","chr4",169784921,169931426,"CBR4","ENSG00000145439",21.6019
"304","chr22",42475695,42480288,"SMDT1","ENSG00000183172",21.5638
"305","chr16",1845621,1877195,"HAGH","ENSG00000063854",21.5442
"306","chr19",36641824,36643771,"COX7A1","ENSG00000161281",21.5213
"307","chr10",135207598,135234811,"MTG1","ENSG00000148824",21.5122
"308","chr12",50505762,50514240,"COX14","ENSG00000178449",21.5055
"309","chr12",95290831,95397546,"NDUFA12","ENSG00000184752",21.467
"310","chr10",75006510,75012451,"MRPS16","ENSG00000182180",21.4649
"311","chr12",107371069,107380944,"MTERFD3","ENSG00000120832",21.4143
"312","chr12",25348150,25362579,"LYRM5","ENSG00000205707",21.348
"313","chr2",157291802,157470247,"GPD2","ENSG00000115159",21.2901
"314","chr2",240831867,240964819,"NDUFA10","ENSG00000130414",21.261
"315","chr11",77779350,77791265,"NDUFC2","ENSG00000151366",21.219
"316","chr14",78174414,78227447,"SLIRP","ENSG00000119705",21.211
"317","chrM",8527,9207,"ATP6","ENSG00000198899",21.1221
"318","chrM",7586,8269,"COX2","ENSG00000198712",21.1221
"319","chr18",71815746,71826197,"TIMM21","ENSG00000075336",21.0878
"320","chr9",124894745,124922098,"NDUFA8","ENSG00000119421",21.0863
"321","chr2",191745553,191830278,"GLS","ENSG00000115419",20.9853
"322","chrX",47001615,47004903,"NDUFB11","ENSG00000147123",20.8256
"323","chr10",12110971,12165224,"DHTKD1","ENSG00000181192",20.7995
"324","chr2",96068469,96082364,"FAHD2A","ENSG00000115042",20.747
"325","chr6",33172413,33174608,"HSD17B8","ENSG00000112474",20.727
"326","chr9",35812957,35815351,"HINT2","ENSG00000137133",20.727
"327","chr2",95752952,95815179,"MRPS5","ENSG00000144029",20.6794
"328","chr6",30614816,30620987,"C6orf136","ENSG00000204564",20.67
"329","chr12",56862301,56864763,"SPRYD4","ENSG00000176422",20.623
"330","chr11",74202757,74204778,"LIPT2","ENSG00000175536",20.6189
"331","chr8",91013633,91064320,"DECR1","ENSG00000104325",20.6061
"332","chr20",3026591,3028900,"MRPS26","ENSG00000125901",20.5582
"333","chr13",41363548,41384247,"SLC25A15","ENSG00000102743",20.4855
"334","chr21",44299754,44333414,"NDUFV3","ENSG00000160194",20.4205
"335","chr6",3118608,3153812,"BPHL","ENSG00000137274",20.4068
"336","chr9",35099888,35103154,"STOML2","ENSG00000165283",20.4068
"337","chr10",23384435,23410942,"MSRB2","ENSG00000148450",20.2816
"338","chr15",63413999,63434260,"LACTB","ENSG00000103642",20.2415
"339","chr19",45393826,45406946,"TOMM40","ENSG00000130204",20.2397
"340","chr9",130830480,130871524,"SLC25A25","ENSG00000148339",20.2397
"341","chr8",145596790,145618457,"ADCK5","ENSG00000173137",20.2277
"342","chr12",112123857,112194903,"ACAD10","ENSG00000111271",20.1818
"343","chr13",42140973,42535256,"VWA8","ENSG00000102763",20.1591
"344","chr11",82970139,82997450,"CCDC90B","ENSG00000137500",20.1315
"345","chr1",6694228,6761984,"DNAJC11","ENSG00000007923",20.0999
"346","chr19",6372444,6375042,"ALKBH7","ENSG00000125652",20.0806
"347","chr9",6532464,6645650,"GLDC","ENSG00000178445",20.0566
"348","chrX",40482817,40483391,"MPC1L","ENSG00000238205",20.0388
"349","chr1",151846060,151882284,"THEM4","ENSG00000159445",19.9875
"350","chr7",141438121,141487722,"SSBP1","ENSG00000106028",19.9351
"351","chr17",48445218,48450575,"MRPL27","ENSG00000108826",19.9351
"352","chr22",29138019,29153503,"HSCB","ENSG00000100209",19.9351
"353","chr6",42174539,42185603,"MRPS10","ENSG00000048544",19.918
"354","chr1",65613232,65697828,"AK4","ENSG00000162433",19.9135
"355","chr1",1447531,1470067,"ATAD3A","ENSG00000197785",19.9009
"356","chr1",54649714,54691137,"MRPL37","ENSG00000116221",19.8663
"357","chr9",130882972,130890741,"PTGES2","ENSG00000148334",19.8663
"358","chr22",19863040,19929341,"TXNRD2","ENSG00000184470",19.853
"359","chr16",20420856,20452658,"ACSM5","ENSG00000183549",19.853
"360","chr10",60028818,60049346,"CISD1","ENSG00000122873",19.8223
"361","chr9",140445651,140447007,"MRPL41","ENSG00000182154",19.7869
"362","chr1",220921567,220958150,"MARC2","ENSG00000117791",19.7768
"363","chr21",35445524,35515334,"MRPS6","ENSG00000243927",19.7396
"364","chr11",1968508,2005752,"MRPL23","ENSG00000214026",19.7219
"365","chr15",45923346,45983492,"SQRDL","ENSG00000137767",19.7219
"366","chr17",10583654,10601692,"SCO1","ENSG00000133028",19.7152
"367","chr22",38203912,38213183,"GCAT","ENSG00000100116",19.7152
"368","chr6",151186685,151423023,"MTHFD1L","ENSG00000120254",19.7152
"369","chr6",4115923,4135831,"ECI2","ENSG00000198721",19.6922
"370","chr8",97238148,97247862,"UQCRB","ENSG00000156467",19.6799
"371","chr17",73034958,73043080,"ATP5H","ENSG00000167863",19.6799
"372","chr11",118271869,118302211,"ATP5L","ENSG00000167283",19.6799
"373","chr3",122078438,122102078,"CCDC58","ENSG00000160124",19.6799
"374","chr5",70883115,70954531,"MCCC2","ENSG00000131844",19.6753
"375","chr2",71336814,71357369,"MCEE","ENSG00000124370",19.672
"376","chr6",39867354,39902290,"MOCS1","ENSG00000124615",19.6691
"377","chr6",49398073,49430904,"MUT","ENSG00000146085",19.6453
"378","chr9",37879400,37904350,"SLC25A51","ENSG00000122696",19.5547
"379","chr16",89557325,89624176,"SPG7","ENSG00000197912",19.5533
"380","chr2",176040986,176049335,"ATP5G3","ENSG00000154518",19.5524
"381","chr10",89511269,89601100,"ATAD1","ENSG00000138138",19.4339
"382","chr3",16306706,16391806,"OXNAD1","ENSG00000154814",19.3897
"383","chr20",60758085,60778624,"MTG2","ENSG00000101181",19.3602
"384","chr1",173793641,173827684,"DARS2","ENSG00000117593",19.3589
"385","chr12",6601150,6603007,"MRPL51","ENSG00000111639",19.3408
"386","chr11",66615704,66725847,"PC","ENSG00000173599",19.3217
"387","chr13",100258919,100549387,"CLYBL","ENSG00000125246",19.28
"388","chr7",108110866,108210110,"PNPLA8","ENSG00000135241",19.2324
"389","chr16",83932731,83949787,"MLYCD","ENSG00000103150",19.2305
