COX11	6.9	7.7	0.839	0.198
MRPL27	6.4	7.8	0.109	0.594
SPATA20	6.5	7.8	0.134	0.332
MRPS23	7.8	7.8	0.0974	0.293
NDUFC2	8.8	7.8	0.104	0.533
ACSF2	6.6	8	0.0862	0.963
MTFR1	14.7	8	0.0209	0.527
TACO1	8.5	8.2	0.245	0.966
PHB	6.8	8.3	0.009363	0.058
CYP24A1	7.5	8.5	0.0626	0.474
POLG2	8.1	8.5	0.771	0.917
AKAP1	8	8.6	0.469	0.717
ADHFE1	15	8.8	0.0148	0.141
CPT1A	8.6	9.4	0.0817	0.618
TMEM70	16.8	9.4	0.0003794	0.307
VDAC3	10	9.7	0.0671	0.449
LACTB2	15.9	9.7	0.003415	0.327
GDAP1	16.9	9.7	0.0001324	0.111
MRPL21	9.5	9.9	0.101	0.716
PTRH2	10.3	10.2	0.173	0.546
GLRX2	22	10.4	0.552	0.0112
DARS2	20.4	10.7	0.759	0.0695
PRDX6	20.5	10.8	0.681	0.0293
MRPS14	20.5	11	0.73	0.0669
MPC2	20.4	11.4	0.983	0.118
LAMC1	20.9	11.6	0.826	0.0817
ANGEL2	21.7	11.6	0.62	0.161
TIMM17A	23.3	11.6	0.913	0.0418
MRPS28	18.3	11.8	0.0001607	0.092
SLC25A44	19.8	11.9	0.23	0.501
MRPL24	20.1	12	0.186	0.493
IARS2	22.8	12	0.154	0.106
LYPLAL1	23.4	12.1	0.0931	0.151
NAXE	20.09	12.24	0.209	0.331
MARC2	0	12.3	1	.0245
DAP3	20.2	12.3	0.273	0.552
RMDN1	19.7	12.4	0.00038023	0.0535
STAR	13.3	12.5	0.0543	0.047
MGST3	21.6	12.6	0.794	0.241
ALDH9A1	21.5	12.7	0.794	0.252
LETM2	13.3	12.9	0.002533	0.0525
PYCR2	22.7	12.9	0.368	0.14
COQ8A	23	13.1	0.219	0.363
FDPS	20.5	13.2	0.313	0.441
PKLR	20.6	13.2	0.313	0.438
ABCB10	23.2	13.2	0.174	0.544
PEX11B	16.2	13.4	0.23	0.0321
BOLA1	17.1	13.4	0.644	0.0455
ACP6	17.8	13.4	0.219	0.0448
GUK1	22.9	13.4	0.129	0.402
IBA57	22.9	13.4	0.129	0.569
MRPL55	22.9	13.4	0.129	0.415
OBSCN	23.1	13.5	0.157	0.128
THEM4	19.3	13.6	0.511	0.284
MTX1	20.8	13.6	0.336	0.733
SDHC	20.9	13.6	0.611	0.282
MRPL9	19	13.7	0.789	0.194
TDRKH	19.1	13.7	0.6	0.189
FLAD1	20.9	13.7	0.449	0.359
KMO	22.8	13.7	0.267	0.0711
FH	23	13.7	0.25	0.179
TOMM40L	21.1	13.8	0.714	0.302
COA6	22.7	13.8	0.228	0.13
NDUFS2	21.1	14	0.74	0.294
PPOX	21.1	14	0.787	0.2
COX20	22.9	14	0.35	0.36
MRPS21	18.3	14.2	0.851	0.124
DECR1	20.2	14.2	0.0009121	0.0563
NIT1	21	14.2	0.833	0.187
TSTD1	21.1	14.2	0.747	0.22
SCCPDH	21.9	14.2	0.675	0.115
TOMM20	22.1	14.2	0.4	0.232
TFB2M	22.2	14.2	0.564	0.355
ADCK5	20.2	14.6	0.0111	0.689
C8orf82	20.2	14.6	0.0164	0.642
RECQL4	20.2	14.6	0.0164	0.65
TARS2	18.5	14.8	0.93	0.181
CYC1	20.4	15	0.008897	0.694
PDP1	20.5	15.1	0.001384	0.0348
TOP1MT	20.4	15.2	0.009277	0.764
CYP11B2	20.8	15.3	0.008428	0.838
MTERF3	0	15.54	1	0.13
UQCRB	19.7	15.6	0.0005856	0.133
RIDA	19.54	15.79	0.0005763	0.322
EMC2	23.1	15.8	0.0002322	0.0137
NDUFAF6	19.9	16.1	0.0007164	0.331
COX6C	20.9	16.4	0.0002371	0.0943
SLC25A32	21.1	16.8	0.00001237	0.121
OXR1	23.2	16.9	0.0004658	0.069
MRPL13	24.3	18.1	0.00001535	0.0827
TMEM65	23.4	18.8	0.00001913	0.0937
NDUFB9	23.5	19	0.00001531	0.12
