Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CCDC26		8q24.21	AMP	151	816	18.5%	No
LINC00977		8q24.21	AMP	151	816	18.5%	No
SNTB1		8q24.12	AMP	150	816	18.4%	No
COL14A1		8q24.12	AMP	150	816	18.4%	No
ZHX1		8q24.13	AMP	150	816	18.4%	No
ASAP1		8q24.21-q24.22	AMP	150	816	18.4%	No
C8ORF76		8q24.13	AMP	150	816	18.4%	No
FAM83A		8q24.13	AMP	150	816	18.4%	No
FBXO32		8q24.13	AMP	150	816	18.4%	No
ENPP2		8q24.12	AMP	149	816	18.3%	No
TAF2		8q24.12	AMP	149	816	18.3%	No
MTBP		8q24.12	AMP	149	816	18.3%	No
DEPTOR		8q24.12	AMP	149	816	18.3%	No
TBC1D31		8q24.13	AMP	149	816	18.3%	No
ZHX2		8q24.13	AMP	148	816	18.1%	No
MRPL13		8q24.12	AMP	148	816	18.1%	No
FAM49B		8q24.21	AMP	148	816	18.1%	No
GSDMC		8q24.21	AMP	148	816	18.1%	No
DERL1		8q24.13	AMP	148	816	18.1%	No
RNY4P5		8q24.13	AMP	148	816	18.1%	No
ADCY8		8q24.22	AMP	147	816	18.0%	No
DSCC1		8q24.12	AMP	147	816	18.0%	No
RNA5SP277		8q24.12	AMP	147	816	18.0%	No
CSMD3		8q23.3	AMP	144	816	17.6%	No
EFR3A		8q24.22	AMP	142	816	17.4%	No
GRHL2		8q22.3	AMP	142	816	17.4%	No
RIMS2		8q22.3	AMP	141	816	17.3%	No
RNF19A		8q22.2	AMP	141	816	17.3%	No
TMEM71		8q24.22	AMP	141	816	17.3%	No
ANKRD46		8q22.3	AMP	141	816	17.3%	No
OC90		8q24.22	AMP	141	816	17.3%	No
KCNQ3		8q24.22	AMP	140	816	17.2%	No
TG		8q24.22	AMP	140	816	17.2%	No
HHLA1		8q24.22	AMP	140	816	17.2%	No
LRRC6		8q24.22	AMP	140	816	17.2%	No
PHF20L1		8q24.22	AMP	140	816	17.2%	No
NCALD		8q22.3	AMP	140	816	17.2%	No
SNX31		8q22.3	AMP	140	816	17.2%	No
SLA		8q24.22	AMP	139	816	17.0%	No
SPAG1		8q22.2	AMP	139	816	17.0%	No
RGS22		8q22.2	AMP	139	816	17.0%	No
BAALC		8q22.3	AMP	139	816	17.0%	No
FBXO43		8q22.2	AMP	139	816	17.0%	No
POLR2K		8q22.2	AMP	138	816	16.9%	No
YWHAZ		8q22.3	AMP	138	816	16.9%	No
OXR1		8q23.1	AMP	138	816	16.9%	No
HPYR1		8q24.22	AMP	138	816	16.9%	No
CTHRC1		8q22.3	AMP	138	816	16.9%	No
ATP6V1C1		8q22.3	AMP	137	816	16.8%	No
FZD6		8q22.3	AMP	137	816	16.8%	No
DCAF13		8q22.3	AMP	137	816	16.8%	No
PABPC1		8q22.3	AMP	137	816	16.8%	No
ZFAT		8q24.22	AMP	137	816	16.8%	No
SLC25A32		8q22.3	AMP	137	816	16.8%	No
BAALC-AS2		8q22.3	AMP	137	816	16.8%	No
VPS13B		8q22.2	AMP	137	816	16.8%	No
ODF1		8q22.3	AMP	136	816	16.7%	No
ST3GAL1		8q24.22	AMP	136	816	16.7%	No
CCN4		8q24.22	AMP	136	816	16.7%	No
NDRG1		8q24.22	AMP	136	816	16.7%	Yes
ZFPM2		8q23.1	AMP	136	816	16.7%	No
UBR5		8q22.3	AMP	136	816	16.7%	Yes
NACA4P		8q22.3	AMP	136	816	16.7%	No
KHDRBS3		8q24.23	AMP	135	816	16.5%	No
RRM2B		8q22.3	AMP	135	816	16.5%	No
ZNF706		8q22.3	AMP	135	816	16.5%	No
AZIN1		8q22.3	AMP	135	816	16.5%	No
ABRA		8q23.1	AMP	135	816	16.5%	No
ANGPT1		8q23.1	AMP	134	816	16.4%	No
COX6C		8q22.2	AMP	134	816	16.4%	No
DPYS		8q22.3	AMP	134	816	16.4%	No
KLF10		8q22.3	AMP	134	816	16.4%	No
LRP12		8q22.3	AMP	134	816	16.4%	No
DENND3		8q24.3	AMP	133	816	16.3%	No
DCSTAMP		8q22.3	AMP	133	816	16.3%	No
CCND1		11q13.3	AMP	132	816	16.2%	Yes
ESRP1		8q22.1	AMP	132	816	16.2%	No
SYBU		8q23.2	AMP	132	816	16.2%	No
INTS8		8q22.1	AMP	132	816	16.2%	No
PKHD1L1		8q23.1-q23.2	AMP	132	816	16.2%	No
LTO1		11q13.3	AMP	132	816	16.2%	No
DPY19L4		8q22.1	AMP	132	816	16.2%	No
STK3		8q22.2	AMP	131	816	16.1%	No
CCNE2		8q22.1	AMP	131	816	16.1%	No
EBAG9		8q23.2	AMP	131	816	16.1%	No
TRAPPC9		8q24.3	AMP	131	816	16.1%	No
NUDCD1		8q23.1	AMP	131	816	16.1%	No
NDUFAF6		8q22.1	AMP	131	816	16.1%	No
EIF3E		8q23.1	AMP	130	816	15.9%	Yes
TRHR		8q23.1	AMP	130	816	15.9%	No
KCNV1		8q23.2	AMP	130	816	15.9%	No
AGO2		8q24.3	AMP	130	816	15.9%	Yes
ENY2		8q23.1	AMP	130	816	15.9%	No
SLC45A4		8q24.3	AMP	130	816	15.9%	No
NIPAL2		8q22.2	AMP	130	816	15.9%	No
TMEM74		8q23.1	AMP	130	816	15.9%	No
KCNS2		8q22.2	AMP	129	816	15.8%	No
PTK2		8q24.3	AMP	129	816	15.8%	No
EMC2		8q23.1	AMP	129	816	15.8%	No
RIDA		8q22.2	AMP	129	816	15.8%	No
POP1		8q22.2	AMP	129	816	15.8%	No
RAD54B		8q22.1	AMP	129	816	15.8%	No
VIRMA		8q22.1	AMP	129	816	15.8%	No
KCNK9		8q24.3	AMP	129	816	15.8%	No
CHRAC1		8q24.3	AMP	129	816	15.8%	No
CASC7		8q24.3	AMP	129	816	15.8%	No
RSPO2		8q23.1	AMP	129	816	15.8%	Yes
FSBP		8q22.1	AMP	129	816	15.8%	No
RNA5SP275		8q23.1	AMP	129	816	15.8%	No
RNA5SP278		8q24.3	AMP	129	816	15.8%	No
ADGRB1		8q24.3	AMP	128	816	15.7%	No
CDH17		8q22.1	AMP	128	816	15.7%	No
GPR20		8q24.3	AMP	128	816	15.7%	No
MATN2		8q22.1-q22.2	AMP	128	816	15.7%	No
RPL30		8q22.2	AMP	128	816	15.7%	No
PTP4A3		8q24.3	AMP	128	816	15.7%	No
PLEKHF2		8q22.1	AMP	128	816	15.7%	No
TP53INP1		8q22.1	AMP	128	816	15.7%	No
OSR2		8q22.2	AMP	128	816	15.7%	No
C8ORF37		8q22.1	AMP	128	816	15.7%	No
TSNARE1		8q24.3	AMP	128	816	15.7%	No
ERICH5		8q22.2	AMP	128	816	15.7%	No
MROH5		8q24.3	AMP	128	816	15.7%	No
LINC00051		8q24.3	AMP	128	816	15.7%	No
RUNX1T1		8q21.3	AMP	127	816	15.6%	Yes
GEM		8q22.1	AMP	127	816	15.6%	No
SDC2		8q22.1	AMP	127	816	15.6%	No
UQCRB		8q22.1	AMP	127	816	15.6%	No
PTDSS1		8q22.1	AMP	127	816	15.6%	No
MTERF3		8q22.1	AMP	127	816	15.6%	No
FAM135B		8q24.23	AMP	127	816	15.6%	No
COL22A1		8q24.23-q24.3	AMP	127	816	15.6%	No
FGF19		11q13.3	AMP	126	816	15.4%	Yes
CPQ		8q22.1	AMP	126	816	15.4%	No
LAPTM4B		8q22.1	AMP	126	816	15.4%	No
MTDH		8q22.1	AMP	126	816	15.4%	No
GDF6		8q22.1	AMP	126	816	15.4%	No
CYP11B2		8q24.3	AMP	125	816	15.3%	No
GLI4		8q24.3	AMP	125	816	15.3%	No
GML		8q24.3	AMP	125	816	15.3%	No
LY6E		8q24.3	AMP	125	816	15.3%	No
ZC3H3		8q24.3	AMP	125	816	15.3%	No
LY6K		8q24.3	AMP	125	816	15.3%	No
GOLPH3L	2.789e-43	1q21.3	AMP	125	816	15.3%	No
GSDMD		8q24.3	AMP	125	816	15.3%	No
HORMAD1	2.789e-43	1q21.3	AMP	125	816	15.3%	No
C8ORF31		8q24.3	AMP	125	816	15.3%	No
ZFP41		8q24.3	AMP	125	816	15.3%	No
CTSS	2.789e-43	1q21.3	AMP	124	816	15.2%	No
CYP11B1		8q24.3	AMP	124	816	15.2%	No
EEF1D		8q24.3	AMP	124	816	15.2%	No
ENSA	2.789e-43	1q21.3	AMP	124	816	15.2%	No
FGF4		11q13.3	AMP	124	816	15.2%	Yes
LY6H		8q24.3	AMP	124	816	15.2%	No
MCL1	2.789e-43	1q21.2	AMP	124	816	15.2%	Yes
PSCA		8q24.3	AMP	124	816	15.2%	No
LY6D		8q24.3	AMP	124	816	15.2%	No
JRK		8q24.3	AMP	124	816	15.2%	No
PUF60		8q24.3	AMP	124	816	15.2%	No
ARC		8q24.3	AMP	124	816	15.2%	No
THEM6		8q24.3	AMP	124	816	15.2%	No
ADAMTSL4	2.789e-43	1q21.2	AMP	124	816	15.2%	No
SLURP1		8q24.3	AMP	124	816	15.2%	No
LYNX1		8q24.3	AMP	124	816	15.2%	No
ZNF696		8q24.3	AMP	124	816	15.2%	No
EPPK1		8q24.3	AMP	124	816	15.2%	No
NAPRT		8q24.3	AMP	124	816	15.2%	No
RHPN1		8q24.3	AMP	124	816	15.2%	No
TOP1MT		8q24.3	AMP	124	816	15.2%	No
LYPD2		8q24.3	AMP	124	816	15.2%	No
GPIHBP1		8q24.3	AMP	124	816	15.2%	No
NRBP2		8q24.3	AMP	124	816	15.2%	No
MAFA		8q24.3	AMP	124	816	15.2%	No
ADAMTSL4-AS1	2.789e-43	1q21.2	AMP	124	816	15.2%	No
MROH6		8q24.3	AMP	124	816	15.2%	No
LINC00535		8q22.1	AMP	124	816	15.2%	No
C8ORF17		8q24.3	AMP	124	816	15.2%	No
FGF3		11q13.3	AMP	123	816	15.1%	Yes
GRINA		8q24.3	AMP	123	816	15.1%	No
PLEC		8q24.3	AMP	123	816	15.1%	No
TSTA3		8q24.3	AMP	123	816	15.1%	No
GPAA1		8q24.3	AMP	123	816	15.1%	No
ZNF623		8q24.3	AMP	123	816	15.1%	No
SCRIB		8q24.3	AMP	123	816	15.1%	No
OPLAH		8q24.3	AMP	123	816	15.1%	No
EXOSC4		8q24.3	AMP	123	816	15.1%	No
PDP1		8q22.1	AMP	123	816	15.1%	No
ANO1		11q13.3	AMP	123	816	15.1%	No
PYCR3		8q24.3	AMP	123	816	15.1%	No
PARP10		8q24.3	AMP	123	816	15.1%	No
TIGD5		8q24.3	AMP	123	816	15.1%	No
TMEM67		8q22.1	AMP	123	816	15.1%	No
SLC26A7		8q21.3	AMP	123	816	15.1%	No
FAM92A		8q22.1	AMP	123	816	15.1%	No
MAPK15		-	AMP	123	816	15.1%	No
ZNF707		8q24.3	AMP	123	816	15.1%	No
FAM83H		8q24.3	AMP	123	816	15.1%	No
TRIQK		8q22.1	AMP	123	816	15.1%	No
SPATC1		8q24.3	AMP	123	816	15.1%	No
RBM12B		8q22.1	AMP	123	816	15.1%	No
CCDC166		8q24.3	AMP	123	816	15.1%	No
CYC1		8q24.3	AMP	122	816	15.0%	No
MYEOV		11q13.3	AMP	122	816	15.0%	No
HGH1		8q24.3	AMP	122	816	15.0%	No
SHARPIN		8q24.3	AMP	122	816	15.0%	No
MAF1		8q24.3	AMP	122	816	15.0%	No
TSPYL5		8q22.1	AMP	122	816	15.0%	No
WDR97		8q24.3	AMP	122	816	15.0%	No
MROH1		8q24.3	AMP	122	816	15.0%	No
RNA5SP274		8q22.1	AMP	122	816	15.0%	No
ARNT		1q21.3	AMP	121	816	14.8%	Yes
CTSK		1q21.3	AMP	121	816	14.8%	No
ECM1	2.789e-43	1q21.2	AMP	121	816	14.8%	No
SETDB1		1q21.3	AMP	121	816	14.8%	Yes
RPRD2	2.789e-43	1q21.2	AMP	121	816	14.8%	No
TARS2	2.789e-43	1q21.2	AMP	121	816	14.8%	No
C8ORF87		8q22.1	AMP	121	816	14.8%	No
FALEC	2.789e-43	1q21.2	AMP	121	816	14.8%	No
OTUD6B		8q21.3	AMP	120	816	14.7%	No
PIP4P2		8q21.3	AMP	120	816	14.7%	No
NECAB1		8q21.3	AMP	120	816	14.7%	No
LRRC69		8q21.3	AMP	120	816	14.7%	No
GPT		8q24.3	AMP	119	816	14.6%	No
HSF1		8q24.3	AMP	119	816	14.6%	No
TONSL		8q24.3	AMP	119	816	14.6%	No
RPL8		8q24.3	AMP	119	816	14.6%	No
ZNF7		8q24.3	AMP	119	816	14.6%	No
ZNF16		8q24.3	AMP	119	816	14.6%	No
ANXA9		1q21.3	AMP	119	816	14.6%	No
DGAT1		8q24.3	AMP	119	816	14.6%	No
FADD		11q13.3	AMP	119	816	14.6%	No
FOXH1		8q24.3	AMP	119	816	14.6%	No
RECQL4		8q24.3	AMP	119	816	14.6%	Yes
LRRC14		8q24.3	AMP	119	816	14.6%	No
BOP1		8q24.3	AMP	119	816	14.6%	No
FBXL6		8q24.3	AMP	119	816	14.6%	No
COMMD5		8q24.3	AMP	119	816	14.6%	No
CPSF1		8q24.3	AMP	119	816	14.6%	No
CERS2		1q21.3	AMP	119	816	14.6%	No
CYHR1		8q24.3	AMP	119	816	14.6%	No
VPS28		8q24.3	AMP	119	816	14.6%	No
SLC39A4		8q24.3	AMP	119	816	14.6%	No
MINDY1		1q21.3	AMP	119	816	14.6%	No
ZNF250		8q24.3	AMP	119	816	14.6%	No
C8ORF33		8q24.3	AMP	119	816	14.6%	No
SLC52A2		8q24.3	AMP	119	816	14.6%	No
ARHGAP39		8q24.3	AMP	119	816	14.6%	No
ZNF34		8q24.3	AMP	119	816	14.6%	No
SCRT1		8q24.3	AMP	119	816	14.6%	No
PPP1R16A		8q24.3	AMP	119	816	14.6%	No
ZNF251		8q24.3	AMP	119	816	14.6%	No
KIFC2		8q24.3	AMP	119	816	14.6%	No
MFSD3		8q24.3	AMP	119	816	14.6%	No
ADCK5		8q24.3	AMP	119	816	14.6%	No
ZNF252P		8q24.3	AMP	119	816	14.6%	No
ZNF517		8q24.3	AMP	119	816	14.6%	No
TMEM249		8q24.3	AMP	119	816	14.6%	No
C8ORF82		8q24.3	AMP	119	816	14.6%	No
LRRC24		8q24.3	AMP	119	816	14.6%	No
SCX		8q24.3	AMP	119	816	14.6%	No
PPFIA1		11q13.3	AMP	118	816	14.5%	No
MLLT11		1q21.3	AMP	118	816	14.5%	Yes
CDC42SE1		1q21.3	AMP	118	816	14.5%	No
ZNF695	6.389e-22	1q44	AMP	118	816	14.5%	No
PRUNE1		1q21.3	AMP	118	816	14.5%	No
ZNF670	6.389e-22	1q44	AMP	118	816	14.5%	No
LINC00534		8q21.3	AMP	118	816	14.5%	No
ACTN2		1q43	AMP	117	816	14.3%	No
VPS72		1q21.3	AMP	117	816	14.3%	No
PIP5K1A		1q21.3	AMP	117	816	14.3%	No
RIPK2		8q21.3	AMP	117	816	14.3%	No
SEMA6C		1q21.3	AMP	117	816	14.3%	No
SHANK2		11q13.3-q13.4	AMP	117	816	14.3%	No
CA14		1q21.2	AMP	117	816	14.3%	No
AHCTF1	6.389e-22	1q44	AMP	117	816	14.3%	No
TMOD4		1q21.3	AMP	117	816	14.3%	No
APH1A		1q21.2	AMP	117	816	14.3%	Yes
C1ORF56		1q21.3	AMP	117	816	14.3%	No
KIF26B	6.389e-22	1q44	AMP	117	816	14.3%	No
SCNM1		1q21.3	AMP	117	816	14.3%	No
TNFAIP8L2		1q21.3	AMP	117	816	14.3%	No
C1ORF54		1q21.2	AMP	117	816	14.3%	No
ZNF669	6.389e-22	1q44	AMP	117	816	14.3%	No
GABPB2		1q21.3	AMP	117	816	14.3%	No
BNIPL		1q21.3	AMP	117	816	14.3%	No
TMEM64		8q21.3	AMP	117	816	14.3%	No
IRF2BP2		1q42.3	AMP	117	816	14.3%	No
LYSMD1		1q21.3	AMP	117	816	14.3%	No
C1ORF229	6.389e-22	1q44	AMP	117	816	14.3%	No
LINC00184		1q42.3	AMP	117	816	14.3%	No
OSGIN2		8q21.3	AMP	116	816	14.2%	No
DECR1		8q21.3	AMP	116	816	14.2%	No
CTTN		11q13.3	AMP	116	816	14.2%	No
NBN		8q21.3	AMP	116	816	14.2%	Yes
NIT1		1q23.3	AMP	116	816	14.2%	No
PFDN2		1q23.3	AMP	116	816	14.2%	No
USF1		1q23.3	AMP	116	816	14.2%	No
ZNF124	6.389e-22	1q44	AMP	116	816	14.2%	No
PRPF3		1q21.2	AMP	116	816	14.2%	No
DEDD		1q23.3	AMP	116	816	14.2%	No
TOMM20		1q42.3	AMP	116	816	14.2%	No
F11R		1q23.3	AMP	116	816	14.2%	No
SCCPDH	6.389e-22	1q44	AMP	116	816	14.2%	No
ARID4B		1q42.3	AMP	116	816	14.2%	Yes
MRPS21		1q21.2	AMP	116	816	14.2%	No
TFB2M	6.389e-22	1q44	AMP	116	816	14.2%	No
NECTIN4		1q23.3	AMP	116	816	14.2%	No
ANP32E		1q21.2	AMP	116	816	14.2%	No
EFCAB2	6.389e-22	1q44	AMP	116	816	14.2%	No
KLHDC9		1q23.3	AMP	116	816	14.2%	No
EDARADD		1q42.3-q43	AMP	116	816	14.2%	No
ITLN2		1q23.3	AMP	116	816	14.2%	No
CIART		1q21.2	AMP	116	816	14.2%	No
CNST	6.389e-22	1q44	AMP	116	816	14.2%	No
ARHGAP30		1q23.3	AMP	116	816	14.2%	No
TSTD1		1q23.3	AMP	116	816	14.2%	No
RNY4P16		1q42.3	AMP	116	816	14.2%	No
CALB1		8q21.3	AMP	115	816	14.1%	No
LY9		1q23.3	AMP	115	816	14.1%	No
CEP170	6.389e-22	1q43	AMP	115	816	14.1%	No
AKT3	6.389e-22	1q43-q44	AMP	115	816	14.1%	Yes
ZBTB18	6.389e-22	1q44	AMP	115	816	14.1%	No
SDCCAG8	6.389e-22	1q43-q44	AMP	115	816	14.1%	No
RBM34		1q42.3	AMP	115	816	14.1%	No
TRIM58	6.389e-22	1q44	AMP	115	816	14.1%	No
OR1C1	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2M4	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2L2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T1	6.389e-22	1q44	AMP	115	816	14.1%	No
CD244		1q23.3	AMP	115	816	14.1%	No
ITLN1		1q23.3	AMP	115	816	14.1%	No
ZNF692	6.389e-22	1q44	AMP	115	816	14.1%	No
SMYD3	6.389e-22	1q44	AMP	115	816	14.1%	Yes
ZNF672	6.389e-22	1q44	AMP	115	816	14.1%	No
SH3BP5L	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T7	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2L5	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2G3	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2G2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2C3	6.389e-22	1q44	AMP	115	816	14.1%	No
NLRP3	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2M5	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2M3	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T12	6.389e-22	1q44	AMP	115	816	14.1%	No
OR14C36	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T34	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T10	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T4	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T11	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2AJ1	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2B11	6.389e-22	1q44	AMP	115	816	14.1%	No
GCSAML	6.389e-22	1q44	AMP	115	816	14.1%	No
PLD5	6.389e-22	1q43	AMP	115	816	14.1%	No
OR2T6	6.389e-22	1q44	AMP	115	816	14.1%	No
PGBD2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2L13	6.389e-22	1q44	AMP	115	816	14.1%	No
OR14A16	6.389e-22	1q44	AMP	115	816	14.1%	No
OR6F1	6.389e-22	1q44	AMP	115	816	14.1%	No
OR14K1	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2W3	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T8	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T3	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T29	6.389e-22	1q44	AMP	115	816	14.1%	No
OR14A2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR11L1	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2L8	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2AK2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2L3	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2M2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T33	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2M7	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2G6	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T2	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T5	6.389e-22	1q44	AMP	115	816	14.1%	No
OR14I1	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T27	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2T35	6.389e-22	1q44	AMP	115	816	14.1%	No
OR2W5	6.389e-22	1q44	AMP	115	816	14.1%	No
OR13G1	6.389e-22	1q44	AMP	115	816	14.1%	No
LYPD8	6.389e-22	1q44	AMP	115	816	14.1%	No
SNORA14B		1q42.3	AMP	115	816	14.1%	No
RNA5SP82	6.389e-22	1q44	AMP	115	816	14.1%	No
RNA5SP273		8q21.3	AMP	115	816	14.1%	No
ADSS	6.389e-22	1q44	AMP	114	816	14.0%	No
CD48		1q23.3	AMP	114	816	14.0%	No
EFNA3		1q21.3	AMP	114	816	14.0%	No
EFNA4		1q21.3	AMP	114	816	14.0%	No
HNRNPU	6.389e-22	1q44	AMP	114	816	14.0%	No
LGALS8		1q43	AMP	114	816	14.0%	No
NDUFS2		1q23.3	AMP	114	816	14.0%	No
NOTCH2		1p12	AMP	114	816	14.0%	Yes
PPOX		1q23.3	AMP	114	816	14.0%	No
PSMD4		1q21.3	AMP	114	816	14.0%	No
TBCE		1q42.3	AMP	114	816	14.0%	No
B4GALT3		1q23.3	AMP	114	816	14.0%	No
ADAM15		1q21.3	AMP	114	816	14.0%	No
GGPS1		1q42.3	AMP	114	816	14.0%	No
ADAMTS4		1q23.3	AMP	114	816	14.0%	No
USP21		1q23.3	AMP	114	816	14.0%	No
DESI2	6.389e-22	1q44	AMP	114	816	14.0%	No
UFC1		1q23.3	AMP	114	816	14.0%	No
HEATR1		1q43	AMP	114	816	14.0%	No
ZNF496	6.389e-22	1q44	AMP	114	816	14.0%	No
COX20	6.389e-22	1q44	AMP	114	816	14.0%	No
B3GALNT2		1q42.3	AMP	114	816	14.0%	No
C1ORF100	6.389e-22	1q44	AMP	114	816	14.0%	No
CATSPERE	6.389e-22	1q44	AMP	114	816	14.0%	No
APOA2		1q23.3	AMP	113	816	13.8%	No
CHML	6.389e-22	1q43	AMP	113	816	13.8%	No
LYST		1q42.3	AMP	113	816	13.8%	No
CHRM3		1q43	AMP	113	816	13.8%	No
FCER1G		1q23.3	AMP	113	816	13.8%	No
GNG4		1q42.3	AMP	113	816	13.8%	No
NID1		1q42.3	AMP	113	816	13.8%	No
PI4KB		1q21.3	AMP	113	816	13.8%	No
RFX5		1q21.3	AMP	113	816	13.8%	No
RYR2		1q43	AMP	113	816	13.8%	No
TARBP1		1q42.2	AMP	113	816	13.8%	No
GPR137B		1q42.3	AMP	113	816	13.8%	No
TUFT1		1q21.3	AMP	113	816	13.8%	No
SV2A		1q21.2	AMP	113	816	13.8%	No
NR1I3		1q23.3	AMP	113	816	13.8%	No
OPN3	6.389e-22	1q43	AMP	113	816	13.8%	No
ZBTB7B		1q21.3	AMP	113	816	13.8%	No
PLEKHO1		1q21.2	AMP	113	816	13.8%	No
ERO1B		1q42.3	AMP	113	816	13.8%	No
ZNF687		1q21.3	AMP	113	816	13.8%	No
SLAMF7		1q23.3	AMP	113	816	13.8%	No
TOMM40L		1q23.3	AMP	113	816	13.8%	No
DCST2		1q21.3	AMP	113	816	13.8%	No
WDR64	6.389e-22	1q43	AMP	113	816	13.8%	No
SLC35F3		1q42.2	AMP	113	816	13.8%	No
DCST1		1q21.3	AMP	113	816	13.8%	No
COA6		1q42.2	AMP	113	816	13.8%	No
PCP4L1		1q23.3	AMP	113	816	13.8%	No
EFNA1		1q22	AMP	112	816	13.7%	No
FH	6.389e-22	1q43	AMP	112	816	13.7%	Yes
FLG		1q21.3	AMP	112	816	13.7%	No
MPZ		1q23.3	AMP	112	816	13.7%	No
MTR		1q43	AMP	112	816	13.7%	No
PSMB4		1q21.3	AMP	112	816	13.7%	No
RGS7	6.389e-22	1q43|1q23.1	AMP	112	816	13.7%	No
RORC		1q21.3	AMP	112	816	13.7%	No
S100A10		1q21.3	AMP	112	816	13.7%	No
SHC1		1q21.3	AMP	112	816	13.7%	No
GNPAT		1q42.2	AMP	112	816	13.7%	No
KMO	6.389e-22	1q43	AMP	112	816	13.7%	No
SELENBP1		1q21.3	AMP	112	816	13.7%	No
EXO1	6.389e-22	1q43	AMP	112	816	13.7%	No
