Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
HAS2-AS1		8q24.13	AMP	523	2173	24.1%	No
IRF6		1q32.2	AMP	522	2173	24.0%	No
ADORA1		1q32.1	AMP	521	2173	24.0%	No
CHI3L1		1q32.1	AMP	521	2173	24.0%	No
MYBPH		1q32.1	AMP	521	2173	24.0%	No
MTSS1		8q24.13	AMP	521	2173	24.0%	No
TMEM183A		1q32.1	AMP	520	2173	23.9%	No
LRATD2		8q24.21	AMP	520	2173	23.9%	No
DISC1-IT1		1q42.2	AMP	520	2173	23.9%	No
KCNK2		1q41	AMP	519	2173	23.9%	No
MYOG		1q32.1	AMP	519	2173	23.9%	No
PKP1		1q32.1	AMP	519	2173	23.9%	No
RABIF		1q32.1	AMP	519	2173	23.9%	No
PPFIA4		1q32.1	AMP	519	2173	23.9%	No
KDM5B		1q32.1	AMP	519	2173	23.9%	No
ADIPOR1		1q32.1	AMP	519	2173	23.9%	No
CYB5R1		1q32.1	AMP	519	2173	23.9%	No
KLHL12		1q32.1	AMP	519	2173	23.9%	No
NAV1		1q32.1	AMP	519	2173	23.9%	No
PCAT6		1q32.1	AMP	519	2173	23.9%	No
IPO9-AS1		1q32.1	AMP	519	2173	23.9%	No
KCTD3		1q41	AMP	518	2173	23.8%	No
TGFB2		1q41	AMP	517	2173	23.8%	No
PCNX2		1q42.2	AMP	517	2173	23.8%	No
LINC00861		8q24.13	AMP	517	2173	23.8%	No
CHRM3		1q43	AMP	516	2173	23.7%	No
TAF2		8q24.12	AMP	516	2173	23.7%	No
UTP25		1q32.2	AMP	516	2173	23.7%	No
EGLN1		1q42.2	AMP	516	2173	23.7%	No
DSCC1		8q24.12	AMP	516	2173	23.7%	No
SYT2		1q32.1	AMP	516	2173	23.7%	No
CHRM3-AS2		1q43	AMP	516	2173	23.7%	No
AGT		1q42.2	AMP	515	2173	23.7%	No
GPATCH2		1q41	AMP	515	2173	23.7%	No
GALNT2		1q42.13	AMP	514	2173	23.7%	No
TLR5		1q41	AMP	514	2173	23.7%	No
COG2		1q42.2	AMP	514	2173	23.7%	No
NSMCE2		8q24.13	AMP	514	2173	23.7%	No
LINC01151		8q24.13	AMP	514	2173	23.7%	No
CAPN9		1q42.2	AMP	513	2173	23.6%	No
RRP15		1q41	AMP	513	2173	23.6%	No
SPATA17		1q41	AMP	513	2173	23.6%	No
LINC00210		1q41	AMP	513	2173	23.6%	No
ZHX2		8q24.13	AMP	512	2173	23.6%	No
RHOU		1q42.13	AMP	512	2173	23.6%	No
PTPRVP		1q32.1	AMP	512	2173	23.6%	No
RPS7P5		1q43	AMP	512	2173	23.6%	No
CHRM3-AS1		1q43	AMP	512	2173	23.6%	No
SPATA17-AS1		1q41	AMP	512	2173	23.6%	No
PPP1R12B		1q32.1	AMP	511	2173	23.5%	No
NDUFB9		8q24.13	AMP	511	2173	23.5%	No
PTPN7		1q32.1	AMP	511	2173	23.5%	No
SUSD4		1q41	AMP	511	2173	23.5%	No
AIDA		1q41	AMP	511	2173	23.5%	No
TATDN1		8q24.13	AMP	511	2173	23.5%	No
DISP1		1q41	AMP	511	2173	23.5%	No
BROX		1q41	AMP	511	2173	23.5%	No
CAPN8		1q41	AMP	511	2173	23.5%	No
GPR37L1		1q32.1	AMP	510	2173	23.5%	No
TRIB1		8q24.13	AMP	510	2173	23.5%	No
PGBD5		1q42.13	AMP	510	2173	23.5%	Yes
SPRTN		1q42.2	AMP	510	2173	23.5%	Yes
C1ORF198		1q42.2	AMP	510	2173	23.5%	No
ARL8A		1q32.1	AMP	510	2173	23.5%	No
EXOC8		1q42.2	AMP	510	2173	23.5%	No
LINC01139		1q43	AMP	510	2173	23.5%	No
KLHL38		8q24.13	AMP	510	2173	23.5%	No
RPS10P7		1q32.1	AMP	510	2173	23.5%	No
FAM177B		1q41	AMP	510	2173	23.5%	No
CENPF		1q41	AMP	509	2173	23.4%	No
CSRP1		1q32.1	AMP	509	2173	23.4%	No
KCNK1		1q42.2	AMP	509	2173	23.4%	No
PTPN14		1q32.3-q41	AMP	509	2173	23.4%	No
SQLE		8q24.13	AMP	509	2173	23.4%	No
GNPAT		1q42.2	AMP	509	2173	23.4%	No
TAF1A		1q41	AMP	509	2173	23.4%	No
WASHC5		8q24.13	AMP	509	2173	23.4%	No
RNF139		8q24.13	AMP	509	2173	23.4%	No
UBE2T		1q32.1	AMP	509	2173	23.4%	No
LGR6		1q32.1	AMP	509	2173	23.4%	No
LYPLAL1		1q41	AMP	509	2173	23.4%	No
C1ORF131		1q42.2	AMP	509	2173	23.4%	No
ZNF572		8q24.13	AMP	509	2173	23.4%	No
LINC00964		8q24.13	AMP	509	2173	23.4%	No
MIA3		1q41	AMP	509	2173	23.4%	No
FAM89A		1q42.2	AMP	509	2173	23.4%	No
TRIM67		1q42.2	AMP	509	2173	23.4%	No
ANXA13		8q24.13	AMP	508	2173	23.4%	No
LAD1		1q32.1	AMP	508	2173	23.4%	No
TNNI1		1q32.1	AMP	508	2173	23.4%	No
TNNT2		1q32.1	AMP	508	2173	23.4%	No
URB2		1q42.13	AMP	508	2173	23.4%	No
DUSP10		1q41	AMP	508	2173	23.4%	No
PHLDA3		1q32.1	AMP	508	2173	23.4%	No
ARV1		1q42.2	AMP	508	2173	23.4%	No
TTC13		1q42.2	AMP	508	2173	23.4%	No
HHIPL2		1q41	AMP	508	2173	23.4%	No
TMEM65		8q24.13	AMP	508	2173	23.4%	No
FER1L6		8q24.13	AMP	508	2173	23.4%	No
LINC00582		1q42.2	AMP	508	2173	23.4%	No
ELF3		1q32.1	AMP	507	2173	23.3%	Yes
RNPEP		1q32.1	AMP	507	2173	23.3%	No
TSNAX		1q42.2	AMP	507	2173	23.3%	No
TAF5L		1q42.13	AMP	507	2173	23.3%	No
DERL1		8q24.13	AMP	507	2173	23.3%	No
FER1L6-AS2		8q24.13	AMP	507	2173	23.3%	No
FER1L6-AS1		8q24.13	AMP	507	2173	23.3%	No
DUSP5P1		1q42.13	AMP	507	2173	23.3%	No
SNRPD2P2		1q42.2	AMP	507	2173	23.3%	No
RNF139-AS1		8q24.13	AMP	507	2173	23.3%	No
TIMM17A		1q32.1	AMP	506	2173	23.3%	No
LMOD1		1q32.1	AMP	506	2173	23.3%	No
ATAD2		8q24.13	AMP	506	2173	23.3%	No
TRMT12		8q24.13	AMP	506	2173	23.3%	No
IPO9		1q32.1	AMP	506	2173	23.3%	No
FBXO32		8q24.13	AMP	506	2173	23.3%	No
SHISA4		1q32.1	AMP	506	2173	23.3%	No
LCE1C		1q21.3	AMP	506	2173	23.3%	No
FAM91A1		8q24.13	AMP	505	2173	23.2%	No
EIF3E		8q23.1	AMP	504	2173	23.2%	Yes
KCNQ3		8q24.22	AMP	504	2173	23.2%	No
RAB4A		1q42.13	AMP	504	2173	23.2%	No
SPHAR		1q42.13	AMP	504	2173	23.2%	No
ZHX1		8q24.13	AMP	504	2173	23.2%	No
ABCB10		1q42.13	AMP	504	2173	23.2%	No
OXR1		8q23.1	AMP	504	2173	23.2%	No
WDYHV1		8q24.13	AMP	504	2173	23.2%	No
HHAT		1q32.2	AMP	504	2173	23.2%	No
SMYD2		1q32.3	AMP	504	2173	23.2%	No
SMYD3		1q44	AMP	504	2173	23.2%	Yes
EFCAB2		1q44	AMP	504	2173	23.2%	No
C8ORF76		8q24.13	AMP	504	2173	23.2%	No
IGFN1		1q32.1	AMP	504	2173	23.2%	No
CNIH3		1q42.12	AMP	504	2173	23.2%	No
IRF2BP2		1q42.3	AMP	504	2173	23.2%	No
LINC00977		8q24.21	AMP	504	2173	23.2%	No
BTNL10		1q42.13	AMP	504	2173	23.2%	No
PROX1-AS1		1q32.3	AMP	504	2173	23.2%	No
CACNA1S		1q32.1	AMP	503	2173	23.1%	No
HLX		1q41	AMP	503	2173	23.1%	No
PROX1		1q32.3	AMP	503	2173	23.1%	No
HIST3H3		1q42.13	AMP	503	2173	23.1%	Yes
CCN4		8q24.22	AMP	503	2173	23.1%	No
NDRG1		8q24.22	AMP	503	2173	23.1%	Yes
SLC30A10		1q41	AMP	503	2173	23.1%	No
FMN2		1q43	AMP	503	2173	23.1%	No
FAM83A		8q24.13	AMP	503	2173	23.1%	No
HIST3H2A		1q42.13	AMP	503	2173	23.1%	No
CCSAP		1q42.13	AMP	503	2173	23.1%	No
HIST3H2BB		1q42.13	AMP	503	2173	23.1%	No
RNF187		1q42.13	AMP	503	2173	23.1%	No
TMEM9		1q32.1	AMP	503	2173	23.1%	No
RSPO2		8q23.1	AMP	503	2173	23.1%	Yes
ASCL5		1q32.1	AMP	503	2173	23.1%	No
FAM83A-AS1		8q24.13	AMP	503	2173	23.1%	No
ACTA1		1q42.13	AMP	502	2173	23.1%	No
MARK1		1q41	AMP	502	2173	23.1%	No
RGS7		1q43|1q23.1	AMP	502	2173	23.1%	No
AURKAP1		1q41	AMP	502	2173	23.1%	No
TARBP1		1q42.2	AMP	502	2173	23.1%	No
TG		8q24.22	AMP	502	2173	23.1%	No
TRHR		8q23.1	AMP	502	2173	23.1%	No
AKT3		1q43-q44	AMP	502	2173	23.1%	Yes
ZBTB18		1q44	AMP	502	2173	23.1%	No
RAB3GAP2		1q41	AMP	502	2173	23.1%	No
TRIM17		1q42.13	AMP	502	2173	23.1%	No
NUP133		1q42.13	AMP	502	2173	23.1%	No
ZP4		1q43	AMP	502	2173	23.1%	No
C1ORF115		1q41	AMP	502	2173	23.1%	No
TRIM11		1q42.13	AMP	502	2173	23.1%	No
LINC00184		1q42.3	AMP	502	2173	23.1%	No
ITPKB		1q42.12	AMP	501	2173	23.1%	No
EMC2		8q23.1	AMP	501	2173	23.1%	No
OBSCN		1q42.13	AMP	501	2173	23.1%	No
PKHD1L1		8q23.1-q23.2	AMP	501	2173	23.1%	No
TBC1D31		8q24.13	AMP	501	2173	23.1%	No
ABRA		8q23.1	AMP	501	2173	23.1%	No
TMEM74		8q23.1	AMP	501	2173	23.1%	No
PLD5		1q43	AMP	501	2173	23.1%	No
LCE1E		1q21.3	AMP	501	2173	23.1%	No
ITPKB-IT1		1q42.12	AMP	501	2173	23.1%	No
LINC01132		1q42.3	AMP	501	2173	23.1%	No
CAPN2		1q41	AMP	500	2173	23.0%	No
SLA		8q24.22	AMP	500	2173	23.0%	No
SERTAD4		1q32.2	AMP	500	2173	23.0%	No
STUM		1q42.12	AMP	500	2173	23.0%	No
FH		1q43	AMP	499	2173	23.0%	Yes
CDC42BPA		1q42.13	AMP	499	2173	23.0%	No
EBAG9		8q23.2	AMP	499	2173	23.0%	No
SDCCAG8		1q43-q44	AMP	499	2173	23.0%	No
KIF26B		1q44	AMP	499	2173	23.0%	No
COQ8A		1q42.13	AMP	499	2173	23.0%	No
SLC35F3		1q42.2	AMP	499	2173	23.0%	No
SYT14		1q32.2	AMP	499	2173	23.0%	No
PRSS38		1q42.13	AMP	499	2173	23.0%	No
SERTAD4-AS1		1q32.2	AMP	499	2173	23.0%	No
OBSCN-AS1		1q42.13	AMP	499	2173	23.0%	No
KIF21B		1q32.1	AMP	498	2173	22.9%	No
WNT3A		1q42.13	AMP	498	2173	22.9%	No
C1ORF100		1q44	AMP	498	2173	22.9%	No
ARF1		1q42.13	AMP	497	2173	22.9%	No
GUK1		1q42.13	AMP	497	2173	22.9%	No
HNRNPU		1q44	AMP	497	2173	22.9%	No
PSEN2		1q42.13	AMP	497	2173	22.9%	No
SYBU		8q23.2	AMP	497	2173	22.9%	No
ENY2		8q23.1	AMP	497	2173	22.9%	No
GJC2		1q42.13	AMP	497	2173	22.9%	No
GREM2		1q43	AMP	497	2173	22.9%	No
ACBD3		1q42.12	AMP	497	2173	22.9%	No
C1ORF35		1q42.13	AMP	497	2173	22.9%	No
NUDCD1		8q23.1	AMP	497	2173	22.9%	No
COX20		1q44	AMP	497	2173	22.9%	No
MRPL55		1q42.13	AMP	497	2173	22.9%	No
IBA57		1q42.13	AMP	497	2173	22.9%	No
IBA57-DT		1q42.13	AMP	497	2173	22.9%	No
SNORA36B		1q41	AMP	497	2173	22.9%	No
PARP1		1q42.12	AMP	496	2173	22.8%	Yes
ANGPT1		8q23.1	AMP	496	2173	22.8%	No
WNT9A		1q42.13	AMP	496	2173	22.8%	No
TMEM63A		1q42.12	AMP	496	2173	22.8%	No
KCNV1		8q23.2	AMP	496	2173	22.8%	No
MIXL1		1q42.12	AMP	496	2173	22.8%	No
SNAP47		1q42.13	AMP	496	2173	22.8%	No
CCDC26		8q24.21	AMP	496	2173	22.8%	No
CATSPERE		1q44	AMP	496	2173	22.8%	No
ADSS		1q44	AMP	495	2173	22.8%	No
EPRS		1q41	AMP	495	2173	22.8%	No
H3F3A		1q42.12	AMP	495	2173	22.8%	Yes
IVL		1q21.3	AMP	495	2173	22.8%	No
SPRR1A		1q21.3	AMP	495	2173	22.8%	No
KMO		1q43	AMP	495	2173	22.8%	No
CEP170		1q43	AMP	495	2173	22.8%	No
BPNT1		1q41	AMP	495	2173	22.8%	No
DESI2		1q44	AMP	495	2173	22.8%	No
IARS2		1q41	AMP	495	2173	22.8%	No
JMJD4		1q42.13	AMP	495	2173	22.8%	No
DNAH14		1q42.12	AMP	495	2173	22.8%	No
LIN9		1q42.12	AMP	495	2173	22.8%	No
ZNF847P		1q42.13	AMP	495	2173	22.8%	No
CHML		1q43	AMP	494	2173	22.7%	No
EPHX1		1q42.12	AMP	494	2173	22.7%	No
LEFTY2		1q42.12	AMP	494	2173	22.7%	No
HHLA1		8q24.22	AMP	494	2173	22.7%	No
LEFTY1		1q42.12	AMP	494	2173	22.7%	No
ZFPM2		8q23.1	AMP	494	2173	22.7%	No
PYCR2		1q42.12	AMP	494	2173	22.7%	No
SPRR4		1q21.3	AMP	494	2173	22.7%	No
ZNF678		1q42.13	AMP	494	2173	22.7%	No
SMCP		1q21.3	AMP	493	2173	22.7%	No
MTR		1q43	AMP	493	2173	22.7%	No
SPRR3		1q21.3	AMP	493	2173	22.7%	No
SRP9		1q42.12	AMP	493	2173	22.7%	No
OPN3		1q43	AMP	493	2173	22.7%	No
PHF20L1		8q24.22	AMP	493	2173	22.7%	No
WDR64		1q43	AMP	493	2173	22.7%	No
DENND1B		1q31.3	AMP	493	2173	22.7%	No
SDE2		1q42.12	AMP	493	2173	22.7%	No
COA6		1q42.2	AMP	493	2173	22.7%	No
TSNAX-DISC1		1q42.2	AMP	493	2173	22.7%	No
LBR		1q42.12	AMP	492	2173	22.6%	No
TP53BP2		1q41	AMP	492	2173	22.6%	No
FAM49B		8q24.21	AMP	492	2173	22.6%	No
TMEM71		8q24.22	AMP	492	2173	22.6%	No
C1ORF53		1q31.3	AMP	492	2173	22.6%	No
MAP1LC3C		1q43	AMP	492	2173	22.6%	No
PRR9		1q21.3	AMP	492	2173	22.6%	No
ENAH		1q42.12	AMP	491	2173	22.6%	No
GSDMC		8q24.21	AMP	491	2173	22.6%	No
LHX9		1q31.3	AMP	491	2173	22.6%	No
WDR26		1q42.11-q42.12	AMP	491	2173	22.6%	No
HPYR1		8q24.22	AMP	491	2173	22.6%	No
LCE6A		1q21.3	AMP	491	2173	22.6%	No
MT1HL1		1q43	AMP	491	2173	22.6%	No
ACTN2		1q43	AMP	490	2173	22.5%	No
PTPRC		1q31.3-q32.1	AMP	490	2173	22.5%	Yes
ST3GAL1		8q24.22	AMP	490	2173	22.5%	No
EXO1		1q43	AMP	490	2173	22.5%	No
LRRC6		8q24.22	AMP	490	2173	22.5%	No
CNIH4		1q42.11	AMP	490	2173	22.5%	No
ASAP1		8q24.21-q24.22	AMP	490	2173	22.5%	No
NEK7		1q31.3	AMP	490	2173	22.5%	No
LCE1A		1q21.3	AMP	490	2173	22.5%	No
LCE1B		1q21.3	AMP	490	2173	22.5%	No
MIR181A1HG		1q32.1	AMP	490	2173	22.5%	No
CRB1		1q31.3	AMP	489	2173	22.5%	No
INAVA		1q32.1	AMP	489	2173	22.5%	No
DCSTAMP		8q22.3	AMP	489	2173	22.5%	No
ATP6V1G3		1q31.3	AMP	489	2173	22.5%	No
NVL		1q42.11	AMP	488	2173	22.5%	No
KCNT2		1q31.3	AMP	488	2173	22.5%	No
SPRR1B		1q21.3	AMP	487	2173	22.4%	No
SPRR2D		1q21.3	AMP	487	2173	22.4%	No
EFR3A		8q24.22	AMP	487	2173	22.4%	No
OC90		8q24.22	AMP	487	2173	22.4%	No
ADCY8		8q24.22	AMP	486	2173	22.4%	No
DPYS		8q22.3	AMP	486	2173	22.4%	No
LMX1A		1q23.3	AMP	486	2173	22.4%	No
SPRR2A		1q21.3	AMP	486	2173	22.4%	No
TNR		1q25.1	AMP	486	2173	22.4%	No
ZFAT		8q24.22	AMP	486	2173	22.4%	No
F13B		1q31.3	AMP	485	2173	22.3%	No
PBX1		1q23.3	AMP	485	2173	22.3%	Yes
RXRG		1q23.3	AMP	485	2173	22.3%	No
FBXO28		1q42.11	AMP	485	2173	22.3%	No
ZFAT-AS1		8q24.22	AMP	485	2173	22.3%	No
CFHR2		1q31.3	AMP	484	2173	22.3%	No
RGS5		1q23.3	AMP	484	2173	22.3%	No
CDC73		1q31.2	AMP	484	2173	22.3%	Yes
CFHR5		1q31.3	AMP	484	2173	22.3%	No
ZBTB41		1q31.3	AMP	484	2173	22.3%	No
SPRR2B		1q21.3	AMP	483	2173	22.2%	No
SPRR2E		1q21.3	AMP	483	2173	22.2%	No
SPRR2F		1q21.3	AMP	483	2173	22.2%	No
DEGS1		1q42.11	AMP	483	2173	22.2%	No
KHDRBS3		8q24.23	AMP	483	2173	22.2%	No
ZNF281		1q32.1	AMP	483	2173	22.2%	No
BRINP2		1q25.2	AMP	483	2173	22.2%	No
NUF2		1q23.3	AMP	483	2173	22.2%	Yes
ASPM		1q31.3	AMP	483	2173	22.2%	No
OR6F1		1q44	AMP	483	2173	22.2%	No
LINC00862		1q32.1	AMP	483	2173	22.2%	No
RGS4		1q23.3	AMP	482	2173	22.2%	No
OR1C1		1q44	AMP	482	2173	22.2%	No
PAPPA2		1q25.2	AMP	482	2173	22.2%	No
TFB2M		1q44	AMP	482	2173	22.2%	No
LELP1		1q21.3	AMP	482	2173	22.2%	No
BRINP3		1q31.1	AMP	482	2173	22.2%	No
KPRP		1q21.3	AMP	482	2173	22.2%	No
C1ORF68		1q21.3	AMP	482	2173	22.2%	No
LGALS8		1q43	AMP	481	2173	22.1%	No
SPRR2C		1q21.3	AMP	481	2173	22.1%	No
SPRR2G		1q21.3	AMP	481	2173	22.1%	No
CFHR4		1q31.3	AMP	481	2173	22.1%	No
HEATR1		1q43	AMP	481	2173	22.1%	No
OR2G3		1q44	AMP	481	2173	22.1%	No
OR2G2		1q44	AMP	481	2173	22.1%	No
GCSAML		1q44	AMP	481	2173	22.1%	No
OR14A16		1q44	AMP	481	2173	22.1%	No
LCE2C		1q21.3	AMP	481	2173	22.1%	No
LCE2D		1q21.3	AMP	481	2173	22.1%	No
OR11L1		1q44	AMP	481	2173	22.1%	No
OR13G1		1q44	AMP	481	2173	22.1%	No
ASTN1		1q25.2	AMP	480	2173	22.1%	No
NR5A2		1q32.1	AMP	480	2173	22.1%	No
GPR25		1q32.1	AMP	480	2173	22.1%	No
KCNH1		1q32.2	AMP	480	2173	22.1%	No
KIAA0040		1q25.1	AMP	480	2173	22.1%	No
NOS1AP		1q23.3	AMP	480	2173	22.1%	No
TOMM20		1q42.3	AMP	480	2173	22.1%	No
TRIM58		1q44	AMP	480	2173	22.1%	No
OR2L2		1q44	AMP	480	2173	22.1%	No
OR2L1P		1q44	AMP	480	2173	22.1%	No
OR2L5		1q44	AMP	480	2173	22.1%	No
OR2M5		1q44	AMP	480	2173	22.1%	No
OR2T12		1q44	AMP	480	2173	22.1%	No
OR2L13		1q44	AMP	480	2173	22.1%	No
OR2W3		1q44	AMP	480	2173	22.1%	No
OR2T8		1q44	AMP	480	2173	22.1%	No
OR2M1P		1q44	AMP	480	2173	22.1%	No
OR2L3		1q44	AMP	480	2173	22.1%	No
OR2M2		1q44	AMP	480	2173	22.1%	No
OR2T33		1q44	AMP	480	2173	22.1%	No
SNORA14B		1q42.3	AMP	480	2173	22.1%	No
LINC01031		1q31.2	AMP	480	2173	22.1%	No
RGS2		1q31.2	AMP	479	2173	22.0%	No
RO60		1q31.2	AMP	479	2173	22.0%	No
RBM34		1q42.3	AMP	479	2173	22.0%	No
CAMSAP2		1q32.1	AMP	479	2173	22.0%	No
LCE2B		1q21.3	AMP	479	2173	22.0%	No
OR2M4		1q44	AMP	479	2173	22.0%	No
OR2T1		1q44	AMP	479	2173	22.0%	No
GLRX2		1q31.2	AMP	479	2173	22.0%	No
UCHL5		1q31.2	AMP	479	2173	22.0%	No
COP1		1q25.1-q25.2	AMP	479	2173	22.0%	Yes
OR2C3		1q44	AMP	479	2173	22.0%	No
NLRP3		1q44	AMP	479	2173	22.0%	No
OR2M3		1q44	AMP	479	2173	22.0%	No
OR2T4		1q44	AMP	479	2173	22.0%	No
OR2B11		1q44	AMP	479	2173	22.0%	No
